"project_id","camera_id","camera_name","make","model","serial_number","year_purchased"
2003269,2019285,"C177","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2044851,"C325a","","",NA,NA
2003269,2041006,"C341a","","",NA,NA
2003269,2018960,"C318","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019163,"C055","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018975,"C303","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019106,"C002","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019132,"C024","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019112,"C004","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046342,"C379b","","",NA,NA
2003269,2019140,"C032","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046382,"C168a","","",NA,NA
2003269,2041115,"C376a","","",NA,NA
2003269,2019020,"C235","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046216,"C035a","","",NA,NA
2003269,2019274,"C166","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2040996,"C382a","","",NA,NA
2003269,2054227,"c416","","",NA,NA
2003269,2046388,"C131a","","",NA,NA
2003269,2019229,"C121","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046197,"C365a","","",NA,NA
2003269,2019143,"C035","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019200,"C092","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041109,"C384a","","",NA,NA
2003269,2019271,"C163","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018905,"C373","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019264,"C156","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018992,"C263","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018875,"C281","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018950,"C328","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046372,"C125a","","",NA,NA
2003269,2040959,"C393a","","",NA,NA
2003269,2044834,"C187a","","",NA,NA
2003269,2040838,"C359a","","",NA,NA
2003269,2018937,"C341","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2044859,"C142b","","",NA,NA
2003269,2039382,"C282a","","",NA,NA
2003269,2046355,"C017a","","",NA,NA
2003269,2054229,"C419a","","",NA,NA
2003269,2018894,"C385","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2045918,"C386b","","",NA,NA
2003269,2019268,"C160","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018964,"C314","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019146,"C038","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019154,"C046","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2043821,"C309a","","",NA,NA
2003269,2046373,"C170a","","",NA,NA
2003269,2040826,"C337a","","",NA,NA
2003269,2046038,"C413a","","",NA,NA
2003269,2019195,"C087","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046389,"C138a","","",NA,NA
