"project_id","camera_id","camera_name","make","model","serial_number","year_purchased"
2003269,2040958,"C111a",NA,"",NA,NA
2003269,2040959,"C393a",NA,"",NA,NA
2003269,2040995,"C355a",NA,"",NA,NA
2003269,2040996,"C382a",NA,"",NA,NA
2003269,2040997,"C352a",NA,"",NA,NA
2003269,2040998,"C395a",NA,"",NA,NA
2003269,2040999,"C351a",NA,"",NA,NA
2003269,2041000,"C106a",NA,"",NA,NA
2003269,2041001,"C113a",NA,"",NA,NA
2003269,2041002,"C115a",NA,"",NA,NA
2003269,2041003,"C045a",NA,"",NA,NA
2003269,2041004,"C105a",NA,"",NA,NA
2003269,2041005,"C372a",NA,"",NA,NA
2003269,2041006,"C341a",NA,"",NA,NA
2003269,2041007,"C373a",NA,"",NA,NA
2003269,2041008,"C400a",NA,"",NA,NA
2003269,2041009,"C386a",NA,"",NA,NA
2003269,2041050,"C390a",NA,"",NA,NA
2003269,2041051,"C347a",NA,"",NA,NA
2003269,2041054,"C358a",NA,"",NA,NA
2003269,2041056,"C396a",NA,"",NA,NA
2003269,2041057,"C371a",NA,"",NA,NA
2003269,2041098,"C346a",NA,"",NA,NA
2003269,2041099,"C104a",NA,"",NA,NA
2003269,2041100,"C379a",NA,"",NA,NA
2003269,2041101,"C356a",NA,"",NA,NA
2003269,2041102,"C109a",NA,"",NA,NA
2003269,2041103,"C110a",NA,"",NA,NA
2003269,2041104,"C392a",NA,"",NA,NA
2003269,2041105,"C399a",NA,"",NA,NA
2003269,2041106,"C397a",NA,"",NA,NA
2003269,2041107,"C114a",NA,"",NA,NA
2003269,2041108,"C118a",NA,"",NA,NA
2003269,2041109,"C384a",NA,"",NA,NA
2003269,2041110,"C369a",NA,"",NA,NA
2003269,2041111,"C374a",NA,"",NA,NA
2003269,2041112,"C349a",NA,"",NA,NA
2003269,2041113,"C387a",NA,"",NA,NA
2003269,2041114,"C146a",NA,"",NA,NA
2003269,2041115,"C376a",NA,"",NA,NA
2003269,2041116,"C360a",NA,"",NA,NA
2003269,2041117,"C101a",NA,"",NA,NA
2003269,2041118,"C367a",NA,"",NA,NA
2003269,2041122,"C103a",NA,"",NA,NA
2003269,2041123,"C116a",NA,"",NA,NA
2003269,2041124,"C370a",NA,"",NA,NA
2003269,2041125,"C401a",NA,"",NA,NA
2003269,2041126,"C345a",NA,"",NA,NA
2003269,2041127,"C343a",NA,"",NA,NA
2003269,2041128,"C366a",NA,"",NA,NA
2003269,2041129,"C294a",NA,"",NA,NA
2003269,2041130,"C382b",NA,"",NA,NA
2003269,2042273,"C324a",NA,"",NA,NA
2003269,2042275,"C331a",NA,"",NA,NA
2003269,2042276,"C321a",NA,"",NA,NA
2003269,2042484,"C304a",NA,"",NA,NA
2003269,2042486,"C329a",NA,"",NA,NA
2003269,2042487,"C302a",NA,"",NA,NA
2003269,2042488,"C318a",NA,"",NA,NA
2003269,2042491,"C328a",NA,"",NA,NA
2003269,2043581,"C320a",NA,"",NA,NA
2003269,2043584,"C310a",NA,"",NA,NA
2003269,2043810,"C323a",NA,"",NA,NA
2003269,2043812,"C327a",NA,"",NA,NA
2003269,2043813,"C315a",NA,"",NA,NA
2003269,2043820,"C312a",NA,"",NA,NA
2003269,2043821,"C309a",NA,"",NA,NA
2003269,2044680,"C159a",NA,"",NA,NA
2003269,2044681,"C157a",NA,"",NA,NA
2003269,2044683,"C180a",NA,"",NA,NA
2003269,2044684,"C182a",NA,"",NA,NA
2003269,2044686,"C189a",NA,"",NA,NA
2003269,2044687,"C012a",NA,"",NA,NA
2003269,2044688,"C021a",NA,"",NA,NA
2003269,2044689,"C129a",NA,"",NA,NA
2003269,2044690,"C162a",NA,"",NA,NA
2003269,2044691,"C188a",NA,"",NA,NA
