"project_id","deployment_id","image_id","filename","location","is_blank","identified_by","wi_taxon_id","class","order","family","genus","species","common_name","uncertainty","timestamp","number_of_objects","age","sex","animal_recognizable","individual_id","individual_animal_notes","behavior","highlighted","markings","cv_confidence","license","placename","group_size","temperature"
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-29__10-45-17.JPG","Algar27__2018-05-29__10-45-17.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-29 10:45:17,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-29__10-45-19.JPG","Algar27__2018-05-29__10-45-19.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-29 10:45:19,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-29__10-45-21.JPG","Algar27__2018-05-29__10-45-21.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-29 10:45:21,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-29__10-45-23.JPG","Algar27__2018-05-29__10-45-23.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-29 10:45:23,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-29__10-45-25.JPG","Algar27__2018-05-29__10-45-25.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-29 10:45:25,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-29__10-45-26.JPG","Algar27__2018-05-29__10-45-26.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-29 10:45:26,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-31__07-12-07.JPG","Algar27__2018-05-31__07-12-07.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-31 07:12:07,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-31__13-56-41.JPG","Algar27__2018-05-31__13-56-41.JPG","",0,"ERT","","Mammalia","Carnivora","Canidae","Canis","lupus","","",2018-05-31 13:56:41,1,"Adult","","","","","","","","","","ALG027",2,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-31__13-57-19.JPG","Algar27__2018-05-31__13-57-19.JPG","",0,"ERT","","Mammalia","Carnivora","Canidae","Canis","lupus","","",2018-05-31 13:57:19,1,"Adult","","","","","","","","","","ALG027",2,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-31__13-57-20.JPG","Algar27__2018-05-31__13-57-20.JPG","",0,"ERT","","Mammalia","Carnivora","Canidae","Canis","lupus","","",2018-05-31 13:57:20,1,"Adult","","","","","","","","","","ALG027",2,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-31__13-57-21.JPG","Algar27__2018-05-31__13-57-21.JPG","",0,"ERT","","Mammalia","Carnivora","Canidae","Canis","lupus","","",2018-05-31 13:57:21,1,"Adult","","","","","","","","","","ALG027",2,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-31__13-57-23.JPG","Algar27__2018-05-31__13-57-23.JPG","",0,"ERT","","Mammalia","Carnivora","Canidae","Canis","lupus","","",2018-05-31 13:57:23,1,"Adult","","","","","","","","","","ALG027",2,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-01__08-16-28.JPG","Algar27__2018-06-01__08-16-28.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-01 08:16:28,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-01__08-16-33.JPG","Algar27__2018-06-01__08-16-33.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-01 08:16:33,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-01__08-16-34.JPG","Algar27__2018-06-01__08-16-34.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-01 08:16:34,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-01__12-39-31.JPG","Algar27__2018-06-01__12-39-31.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-01 12:39:31,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-01__12-39-38.JPG","Algar27__2018-06-01__12-39-38.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-01 12:39:38,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-01__12-39-40.JPG","Algar27__2018-06-01__12-39-40.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-01 12:39:40,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-02__07-05-22.JPG","Algar27__2018-06-02__07-05-22.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-02 07:05:22,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-02__09-50-32.JPG","Algar27__2018-06-02__09-50-32.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-02 09:50:32,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-02__09-50-34.JPG","Algar27__2018-06-02__09-50-34.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-02 09:50:34,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-02__09-50-43.JPG","Algar27__2018-06-02__09-50-43.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-02 09:50:43,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-02__09-50-49.JPG","Algar27__2018-06-02__09-50-49.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-02 09:50:49,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-02__13-06-15.JPG","Algar27__2018-06-02__13-06-15.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-02 13:06:15,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-02__13-06-17.JPG","Algar27__2018-06-02__13-06-17.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-02 13:06:17,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-02__13-06-19.JPG","Algar27__2018-06-02__13-06-19.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-02 13:06:19,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-04__20-06-11.JPG","Algar27__2018-06-04__20-06-11.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-04 20:06:11,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-05__12-30-42.JPG","Algar27__2018-06-05__12-30-42.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-05 12:30:42,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-06__20-29-16.JPG","Algar27__2018-06-06__20-29-16.JPG","",0,"ERT","","Mammalia","Carnivora","Felidae","Lynx","canadensis","","",2018-06-06 20:29:16,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-06__20-29-21.JPG","Algar27__2018-06-06__20-29-21.JPG","",0,"ERT","","Mammalia","Carnivora","Felidae","Lynx","canadensis","","",2018-06-06 20:29:21,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-07__11-47-37.JPG","Algar27__2018-06-07__11-47-37.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-07 11:47:37,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-07__11-47-39.JPG","Algar27__2018-06-07__11-47-39.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-07 11:47:39,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-07__11-47-41.JPG","Algar27__2018-06-07__11-47-41.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-07 11:47:41,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-07__11-47-42.JPG","Algar27__2018-06-07__11-47-42.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-07 11:47:42,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-07__11-47-44.JPG","Algar27__2018-06-07__11-47-44.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-07 11:47:44,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-07__22-40-36.JPG","Algar27__2018-06-07__22-40-36.JPG","",0,"ERT","",NA,NA,NA,"Unknown","unknown","","",2018-06-07 22:40:36,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-07__22-40-39.JPG","Algar27__2018-06-07__22-40-39.JPG","",0,"ERT","",NA,NA,NA,"Unknown","unknown","","",2018-06-07 22:40:39,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-10__19-39-33.JPG","Algar27__2018-06-10__19-39-33.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-10 19:39:33,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-11__14-24-36.JPG","Algar27__2018-06-11__14-24-36.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-11 14:24:36,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-17__17-10-54.JPG","Algar27__2018-06-17__17-10-54.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-17 17:10:54,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-17__17-10-57.JPG","Algar27__2018-06-17__17-10-57.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-17 17:10:57,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-25__02-57-33.JPG","Algar27__2018-06-25__02-57-33.JPG","",0,"ERT","","Mammalia","Artiodactyla","Cervidae","Alces","alces","","",2018-06-25 02:57:33,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-25__02-57-36.JPG","Algar27__2018-06-25__02-57-36.JPG","",0,"ERT","","Mammalia","Artiodactyla","Cervidae","Alces","alces","","",2018-06-25 02:57:36,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-26__15-41-53.JPG","Algar27__2018-06-26__15-41-53.JPG","",1,"ERT","",NA,NA,NA,"","blank","","",2018-06-26 15:41:53,0,"Unidentified","","","","","","","","","","ALG027",0,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-26__20-31-18.JPG","Algar27__2018-06-26__20-31-18.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-26 20:31:18,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-26__20-31-20.JPG","Algar27__2018-06-26__20-31-20.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-06-26 20:31:20,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-27__06-54-35.JPG","Algar27__2018-06-27__06-54-35.JPG","",0,"ERT","","Mammalia","Carnivora","Felidae","Lynx","canadensis","","",2018-06-27 06:54:35,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-28__19-54-52.JPG","Algar27__2018-06-28__19-54-52.JPG","",1,"ERT","",NA,NA,NA,"","blank","","",2018-06-28 19:54:52,0,"Unidentified","","","","","","","","","","ALG027",0,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-06-29__10-00-19.JPG","Algar27__2018-06-29__10-00-19.JPG","",0,"ERT","","Mammalia","Artiodactyla","Cervidae","Odocoileus","virginianus","","",2018-06-29 10:00:19,1,"Adult","Female","","","","","","","","","ALG027",1,NA
